v,omega,x,y,phi,xr,yr,phir,delta
-0.0135,-0.0100,14.0072,-0.0275,0.0111,0.0000,0.0000,0.0000,-0.0052
-0.0133,-0.0099,14.1072,-0.0267,0.0109,0.0000,0.0000,0.0000,-0.0051
-0.0132,-0.0098,14.2072,-0.0259,0.0107,0.0000,0.0000,0.0000,-0.0051
-0.0130,-0.0097,14.3072,-0.0251,0.0106,0.0000,0.0000,0.0000,-0.0050
-0.0128,-0.0095,14.4072,-0.0243,0.0104,0.0000,0.0000,0.0000,-0.0050
-0.0127,-0.0094,14.5072,-0.0235,0.0102,0.0000,0.0000,0.0000,-0.0049
-0.0125,-0.0093,14.6072,-0.0227,0.0100,0.0000,0.0000,0.0000,-0.0048
-0.0124,-0.0092,14.7072,-0.0220,0.0098,0.0000,0.0000,0.0000,-0.0048
-0.0122,-0.0091,14.8072,-0.0212,0.0096,0.0000,0.0000,0.0000,-0.0047
-0.0121,-0.0089,14.9072,-0.0205,0.0094,0.0000,0.0000,0.0000,-0.0046
