v,omega,x,y,phi,xr,yr,phir,delta
-0.0547,-0.0404,73.3942,0.8913,0.0636,73.6994,0.8851,0.0465,-0.0220
-0.0551,-0.0408,73.4941,0.8966,0.0628,73.7994,0.8897,0.0456,-0.0222
-0.0555,-0.0411,73.5939,0.9018,0.0619,73.8994,0.8943,0.0447,-0.0224
-0.0559,-0.0414,73.6938,0.9069,0.0611,73.9994,0.8987,0.0438,-0.0225
-0.0563,-0.0417,73.7937,0.9118,0.0603,74.0994,0.9030,0.0429,-0.0227
-0.0567,-0.0420,73.8936,0.9167,0.0595,74.1994,0.9073,0.0420,-0.0228
-0.0571,-0.0423,73.9935,0.9216,0.0586,74.2994,0.9114,0.0411,-0.0230
-0.0575,-0.0426,74.0934,0.9263,0.0578,74.3994,0.9155,0.0402,-0.0231
-0.0579,-0.0428,74.1933,0.9309,0.0569,74.4994,0.9195,0.0393,-0.0233
-0.0583,-0.0431,74.2932,0.9354,0.0561,74.5994,0.9234,0.0384,-0.0234
-0.0587,-0.0434,74.3931,0.9399,0.0552,74.6994,0.9272,0.0374,-0.0236
-0.0590,-0.0437,74.4930,0.9442,0.0543,74.7994,0.9309,0.0365,-0.0237
-0.0594,-0.0439,74.5929,0.9485,0.0535,74.8994,0.9345,0.0356,-0.0239
-0.0598,-0.0442,74.6928,0.9526,0.0526,74.9994,0.9380,0.0347,-0.0240
-0.0601,-0.0445,74.7927,0.9567,0.0517,75.0994,0.9414,0.0337,-0.0241
-0.0605,-0.0447,74.8927,0.9606,0.0508,75.1994,0.9447,0.0328,-0.0243
-0.0608,-0.0450,74.9926,0.9645,0.0499,75.2994,0.9480,0.0318,-0.0244
-0.0611,-0.0452,75.0925,0.9683,0.0490,75.3994,0.9511,0.0309,-0.0245
-0.0615,-0.0455,75.1925,0.9720,0.0481,75.4994,0.9541,0.0299,-0.0246
-0.0618,-0.0457,75.2924,0.9756,0.0472,75.5994,0.9571,0.0290,-0.0248
-0.0621,-0.0459,75.3924,0.9790,0.0463,75.6994,0.9599,0.0280,-0.0249
-0.0624,-0.0462,75.4923,0.9824,0.0454,75.7994,0.9627,0.0271,-0.0250
-0.0627,-0.0464,75.5923,0.9857,0.0444,75.8994,0.9653,0.0261,-0.0251
-0.0630,-0.0466,75.6922,0.9889,0.0435,75.9994,0.9679,0.0251,-0.0252
-0.0633,-0.0468,75.7922,0.9920,0.0426,76.0994,0.9704,0.0242,-0.0253
-0.0636,-0.0470,75.8922,0.9950,0.0416,76.1994,0.9727,0.0232,-0.0254
-0.0638,-0.0472,75.9921,0.9979,0.0407,76.2994,0.9750,0.0222,-0.0255
-0.0641,-0.0474,76.0921,1.0007,0.0398,76.3994,0.9772,0.0212,-0.0256
-0.0644,-0.0476,76.1921,1.0034,0.0388,76.4994,0.9793,0.0203,-0.0257
-0.0646,-0.0478,76.2920,1.0060,0.0379,76.5994,0.9812,0.0193,-0.0258
-0.0649,-0.0480,76.3920,1.0085,0.0369,76.6994,0.9831,0.0183,-0.0259
-0.0651,-0.0482,76.4920,1.0108,0.0359,76.7994,0.9849,0.0173,-0.0260
-0.0654,-0.0484,76.5920,1.0131,0.0350,76.8994,0.9866,0.0163,-0.0261
-0.0656,-0.0486,76.6920,1.0153,0.0340,76.9994,0.9882,0.0153,-0.0262
-0.0658,-0.0487,76.7920,1.0174,0.0330,77.0994,0.9896,0.0144,-0.0263
-0.0660,-0.0489,76.8919,1.0194,0.0321,77.1994,0.9910,0.0134,-0.0264
-0.0663,-0.0490,76.9919,1.0213,0.0311,77.2994,0.9923,0.0124,-0.0264
-0.0665,-0.0492,77.0919,1.0231,0.0301,77.3994,0.9935,0.0114,-0.0265
-0.0667,-0.0493,77.1919,1.0248,0.0291,77.4994,0.9946,0.0104,-0.0266
-0.0669,-0.0495,77.2919,1.0263,0.0281,77.5994,0.9956,0.0094,-0.0267
-0.0670,-0.0496,77.3919,1.0278,0.0271,77.6994,0.9965,0.0084,-0.0267
-0.0672,-0.0498,77.4919,1.0292,0.0262,77.7994,0.9973,0.0074,-0.0268
-0.0674,-0.0499,77.5919,1.0305,0.0252,77.8994,0.9979,0.0064,-0.0268
-0.0676,-0.0500,77.6919,1.0316,0.0242,77.9994,0.9985,0.0054,-0.0269
-0.0677,-0.0501,77.7919,1.0327,0.0232,78.0994,0.9990,0.0044,-0.0270
-0.0679,-0.0502,77.8919,1.0336,0.0222,78.1994,0.9994,0.0034,-0.0270
-0.0680,-0.0503,77.9919,1.0345,0.0212,78.2994,0.9997,0.0024,-0.0271
-0.0681,-0.0504,78.0919,1.0353,0.0201,78.3994,0.9999,0.0014,-0.0271
-0.0683,-0.0505,78.1919,1.0359,0.0191,78.4994,1.0000,0.0004,-0.0272
-0.0684,-0.0506,78.2920,1.0365,0.0181,78.5994,1.0000,-0.0006,-0.0272
-0.0685,-0.0507,78.3920,1.0369,0.0171,78.6994,0.9999,-0.0016,-0.0272
-0.0686,-0.0508,78.4920,1.0372,0.0161,78.7994,0.9997,-0.0026,-0.0273
-0.0687,-0.0509,78.5920,1.0375,0.0151,78.8994,0.9994,-0.0036,-0.0273
-0.0688,-0.0510,78.6920,1.0376,0.0141,78.9994,0.9989,-0.0046,-0.0273
-0.0689,-0.0510,78.7920,1.0376,0.0130,79.0994,0.9984,-0.0056,-0.0274
-0.0690,-0.0511,78.8920,1.0376,0.0120,79.1994,0.9978,-0.0066,-0.0274
-0.0691,-0.0511,78.9920,1.0374,0.0110,79.2994,0.9971,-0.0076,-0.0274
-0.0691,-0.0512,79.0920,1.0371,0.0100,79.3994,0.9963,-0.0086,-0.0274
-0.0692,-0.0512,79.1920,1.0367,0.0090,79.4994,0.9954,-0.0096,-0.0275
-0.0693,-0.0513,79.2920,1.0362,0.0079,79.5994,0.9944,-0.0106,-0.0275
-0.0693,-0.0513,79.3921,1.0356,0.0069,79.6994,0.9933,-0.0116,-0.0275
-0.0693,-0.0513,79.4921,1.0350,0.0059,79.7994,0.9921,-0.0126,-0.0275
-0.0694,-0.0514,79.5921,1.0342,0.0049,79.8994,0.9908,-0.0136,-0.0275
-0.0694,-0.0514,79.6921,1.0333,0.0038,79.9994,0.9894,-0.0145,-0.0275
-0.0694,-0.0514,79.7921,1.0322,0.0028,80.0993,0.9879,-0.0155,-0.0275
-0.0694,-0.0514,79.8921,1.0311,0.0018,80.1993,0.9863,-0.0165,-0.0275
-0.0694,-0.0514,79.9921,1.0299,0.0007,80.2993,0.9846,-0.0175,-0.0275
-0.0694,-0.0514,80.0921,1.0286,-0.0003,80.3993,0.9828,-0.0185,-0.0275
-0.0694,-0.0514,80.1921,1.0272,-0.0013,80.4993,0.9809,-0.0195,-0.0275
-0.0694,-0.0514,80.2921,1.0257,-0.0023,80.5993,0.9789,-0.0204,-0.0275
-0.0694,-0.0514,80.3921,1.0241,-0.0034,80.6993,0.9768,-0.0214,-0.0275
-0.0694,-0.0514,80.4921,1.0223,-0.0044,80.7993,0.9746,-0.0224,-0.0274
-0.0693,-0.0513,80.5921,1.0205,-0.0054,80.8993,0.9723,-0.0234,-0.0274
-0.0693,-0.0513,80.6921,1.0186,-0.0065,80.9993,0.9699,-0.0243,-0.0274
-0.0692,-0.0513,80.7920,1.0165,-0.0075,81.0993,0.9674,-0.0253,-0.0274
-0.0692,-0.0512,80.8920,1.0144,-0.0085,81.1993,0.9648,-0.0263,-0.0273
-0.0691,-0.0512,80.9920,1.0122,-0.0095,81.2993,0.9622,-0.0272,-0.0273
-0.0690,-0.0511,81.0920,1.0098,-0.0106,81.3993,0.9594,-0.0282,-0.0273
-0.0689,-0.0511,81.1920,1.0074,-0.0116,81.4993,0.9565,-0.0292,-0.0272
-0.0689,-0.0510,81.2920,1.0049,-0.0126,81.5993,0.9536,-0.0301,-0.0272
-0.0688,-0.0509,81.3919,1.0022,-0.0136,81.6993,0.9505,-0.0311,-0.0272
-0.0687,-0.0509,81.4919,0.9995,-0.0146,81.7993,0.9473,-0.0320,-0.0271
